입찰명,카테고리
16-자산정수기 관리용역 계약,미분류
"탐지기, 광도측정용 등 2종",미분류
16-041 테니스 라켓 6종,미분류
"게이지, 전해질, 수위용 등 15종",미분류
종균제 구매,미분류
푸쉬 스위치 초소형 등 73종,미분류
명함철 등 109종,미분류
버스[28인승] 2대 임차 용역,미분류
오일휠터등 81품목,미분류
전산운영용품 00종 구매,2종
방폭문패킹등 17품목,미분류
도서(고졸검정고시 핵심 총정리등 18품목),10종
'16년 오수처리시설 수질검사 용역,미분류
메모수첩 등 2품목,미분류
'16년 정기 토양오염검사 용역,미분류
카드형 교통카드 등 3품목,미분류
행정용품(프린터 토너 등 45종) 구매,2종
게이트 밸브 등 5종 구매,4종
도금폐수(산화계)20톤,미분류
심정모터,미분류
법랑화이트보드 등 2종,미분류
장력계 등 2종,미분류
"보급목록카드 7,200EA",미분류
식당 하수관로 및 오수중계펌프실 준설 용역,미분류
군가재생시스템 납품(설치),미분류
냉매누설 탐지기 등 3종 구매,미분류
위험물보관함등 11품목,미분류
"제어장치, 경보기용 등 13종",미분류
"축, 구동용 등 3종 구매",미분류
컨센트릭 밸브 조립체 등 29종,4종
비점오염원 저감시설 유지관리용역,미분류
제본표지 등 68종 구매,미분류
냉장배식대 3대 구매,미분류
UPS 배터리 60개 구매,9종
런닝머신 등 10종 구매,미분류
도서(완벽하지 않은 것들에 대한 사랑 등 22종) 구매,10종
이발가위 등 10종 구매,미분류
"베어링, 플레인형, 로드엔드형 등 2종",9종
시일링 콤파운드 등 5종,미분류
회로카드 조립체 1종,미분류
"센서, 촉각반응용 등 7종",미분류
DVD플레이어 5대,미분류
관류용 멸균 증류수 등 80종,미분류
마취기 필터 등 30종(해의원),9종
하체근력강화용 자전거 2종 구매,미분류
전기다리미 등 10종 납품,미분류
지상군 전략 및 작전수행개념 연구,10종
전장리더십 역량의 평시 개발 연구,10종
도약적 우위능력을 위한 미래 전력 창출 방향 연구,10종
주변국 지상군에 대한 부대 및 전력구조 연구,10종
동서지형의 차이를 고려한 부대 및 전력구조 연구용역,미분류
워터젯추진기용 실린더,미분류
해군 인터넷 홈페이지 개발 용역,미분류
폐목재 위탁 처리용역(52),미분류
한식간장,1종
쌈장,미분류
전자저울(150Kg) 등 4항목 구매(물자),미분류
"허스키바나엔진톱날16"" 등 57종",9종
1단 FEED ASSY 등 13건,미분류
후물용 본봉미싱부속 셋트 등 29종,미분류
"덧양말,방한용 등 6항목 구매(물자)",미분류
방위사업 원가계산 외부용역 1차,미분류
함정 선체 및 실내 청락/도장 용역,미분류
면장갑등134종구매,미분류
케이블타이등13종구매,4종
공마대등4종구매,미분류
평면연마용숫돌등38종구매,미분류
플라스틱마개등94종구매,미분류
인서트팁등340종구매,미분류
연마포등29종구매,미분류
자동기상관측장비(AMOS) 외주정비 용역,미분류
16년포렌식및거짓말탐지시스템유지보수,4종
16-4차 부대조달 (건강검진시약) 구매,미분류
(16-002) 잡석 3품목,미분류
(16-002) 혼합골재,4종
16년전자수사자료표시스템유지보수,4종
컴퓨터시스템 디지털형,미분류
써모스터 등 8품목,미분류
16년 위성망가속기(URC-700K용) 유지보수 용역,미분류
사무비품 4종 제조설치,미분류
정비피복(동.하 정비복) 제조납품,미분류
환자관찰장치 이동형 구매설치,미분류
자동세척건조기 중형 구매설치,미분류
활주로 진입등주 제조설치,미분류
16-방한복(정비사용) 제조납품,미분류
디지털 인쇄재료 4종 구매,미분류
2016년 OO기관 조경관리 용역,미분류
유아용 수면조끼 550벌,미분류
총 수명주기간 함정 안전진단 수행체계 개선방안 연구,7종
한국형 손상통제 모의훈련형 CBT 구축방안연구,10종
00함 갑판 크레인 정비,미분류
안테나 경사조절장비(LTD-11) 유압구동부 정비,미분류
노후 프린터 교체,2종
2016년 제3차 정신교육 영상교재 제작,10종
대한민국 공군 화보집 제작용역,미분류
노트북 분실방지 케이블 등 10품목,2종
사업장 생활계폐기물 처리용역,미분류
손수건 등 2품목,미분류
대테러복 등 7종,미분류
페스트로프 1롤,미분류
`16-00부대 교육장비(시뮬레이션 교육비품) 구매,미분류
회중전등 등 2종,미분류
날 1종,미분류
콜드파이어 1종,미분류
16-평-프린터 임차 용역(102대),미분류
청소용 릴호스 1종,미분류
오일레벨 게이지 등 19종 구매,미분류
야전정비-타이어 1100-20 외 12종,9종
00부대 음식물쓰레기처리 용역(16-군수-06),미분류
취사가운 등 7종,미분류
16-목-매트리스 소독 및 세척 용역,미분류
00부대 소방시설 안전검사,4종
케이블 타이 등 34품목,4종
플라이 웨이트 아세이 1종 구매,미분류
1분기 전산운영용품 구매,2종
덕트형 제습기 등 4종 구매,미분류
"로프,와이어제 등 4종",미분류
구조용 텐트 구매,2종
의자캐스터 등 259품목 구매,2종
태극기 등 148품목 구매,미분류
16-건물 청소 용역,미분류
진남관 청소 용역,미분류
함정 청수탱크 소제 및 청락/도장 용역,미분류
무인경계시스템(CCTV) 유지보수 정비,4종
’16년 KUH CMI 교육시스템 정비용역 계약,미분류
흙먼지 털이기 설치/납품,미분류
소총용 어댑터류,7종
상장용지 6종 제조 납품,미분류
체력단련장 코스관리용 농약 구매,미분류
체력단련장 코스관리용 모래 구매,4종
LPH 지휘지원체계(CSS) 유지보수 용역,미분류
2016년 의무장비 환자관찰장치 이동형(2차),8종
2016년 의무장비 이비인후과유니트 구매,8종
바나나,미분류
OO지역 간부숙소 비품 제조 / 구매 설치납품,미분류
기상장비 수리부속(데이터로거등 6종) 구매,9종
프린터 토너 등 103종 구매,2종
고성능 전기이발기 구매,미분류
복사용지 등 88품목 구매,미분류
전투용응급처치키트,미분류
모형진지 구매,미분류
1분기 전산운영용품 구매,2종
영상처리자동화시스템 구축 유지보수 용역사업,미분류
부대이전 이사화물 용역,미분류
00부대 예비군훈련장 신축(냉난방기 제조설치 납품),미분류
디지털 인쇄기 및 프린터 외주정비 용역,미분류
16~17년 AFCCS HW 유지보수 용역,미분류
X-RAY 형광분석기 구매,8종
공군 기록관리시스템 유지보수 용역,미분류
15-본-공-15 C.O.D 통신관 제조 납품,5종
함정 실내격벽 응결수 방지 청락/도장 용역,미분류
강릉병원 공조기필터 교체 설치납품,9종
00국가 사이버 정보 서비스 라이선스 구매,미분류
군숙소 도배 및 장판 교체,4종
"알곤, 공업용 가스 등 5종",3종
"야광X-밴드 2,000EA",미분류
클램프 등 20종,미분류
"통,탄산가스용 334EA",3종
1분기 전산운영용품 구매,2종
16-부 프린터 임차 용역(100대),미분류
16-Y-00지역 감시카메라(CCTV) 유지보수 용역,미분류
사무용 지우개 등 103종 구매,미분류
복사용지 등 3종,미분류
1/4분기 00부대 정보체계물품 구매,미분류
사복탁송용박스 구매,미분류
에어컨 동관 등 104종,미분류
멀티탭 등 567종 구매,미분류
"알곤, 공업용 가스 등 5종",3종
"알곤, 공업용 가스 등 5종",3종
"알곤, 공업용 가스 등 5종",3종
"알곤, 공업용 가스 등 5종",3종
16-031 항공과학고 부교재 35품목,7종
전산운영용품 51종 구매,2종
브래킷류,미분류
16-08-소개영상 제작 용역,미분류
지상전술C4I체계 2차 성능개량 비용분석,미분류
항공임무 외주정비 원가계산 검증용역,미분류
FMS 운송용역 원가계산 외부용역,미분류
16년 컬러프린터 렌탈,2종
1/4분기 교육예산 물품 구매,미분류
"빨간마후라 목티형(반팔), 백색 등 3종",미분류
(16-010) 부대운영자재 등 5품목,미분류
의무장비(4차) 치료테이블 전기식 구매,8종
의무장비(4차) 소독물품포장기 구매,8종
의무장비(4차) 간섭파치료기 구매,8종
의무장비(3차) 정수기 혈액투석용 구매,8종
의무장비(3차) 건열기 병리시험건조용 구매,8종
00부대 예비군훈련장 신축(창호 제조설치 납품),4종
1891부대 16-1차 정보체계예산 구매,미분류
휴대용GPS외주정비,미분류
헬륨가스 등 3종 제조,3종
이불커버 제조 납품,미분류
16년 생도 부교재(테블릿 PC) 구매,2종
00아파트 타일 제조,4종
00아파트 엘리베이터 제조설치,미분류
00아파트 콘크리트파일 제조,4종
유류탱크 기술검사 민간위탁 용역(3),미분류
프린터 재생토너,2종
손코팅 필름 등 286종,미분류
특수수술재료(Bone chip 2종) 구매,미분류
특수수술재료(합성골) 구매,미분류
16년 생수 구매(제조 또는 구매),미분류
'16년 일반장비(도하장비) 외주정비 용역,미분류
'16년 기동장비(냉동부식차 및 에어컨) 외주정비 용역,미분류
음식물류 폐기물처리 계약(단가제),10종
1분기 전산용품 구매(토너),2종
건전지 구매,2종
회로카드조립체 제조,미분류
잉크 등 29품목,2종
"전극,용접용 등 20종",미분류
16년 1분기 전산운영용품 구매,2종
00부대 독신숙소TV 구매,미분류
체인블럭 등 55종,미분류
세면타월 등 3종,미분류
1분기 11차 의약품 및 의료기재 구매,8종
16-인-00지역 물탱크 청소용역,미분류
시멘트 등 9종,4종
LED 다운라이트 등 113종(해의원),4종
박판.금속제 등 2종,미분류
"박판,금속제 등 29종",미분류
위장 숲녹색 등 6종,미분류
"박판,금속제 등 29종",미분류
의약품(네리소나연고 등 113종) 구매,8종
신장 스프링 등 10종,미분류
솔레노이드 밸브 등 36종,4종
전원 공급기 등 4종,미분류
추적등 등 37종,미분류
자료연동처리기(DLPS) 유지보수 정비,4종
전자식 순찰시계 등 2종,미분류
방풍용 비닐 등 6종,미분류
16년 지뢰 재탐색 및 제거용 안전장구류 구매,5종
실린더조립체,미분류
하니컴 골판지 등 6항목 구매(물자),미분류
"헹굼 첨가제, 접시닦기용(20Kg) 등 2항목 구매(물자)",미분류
잭박스,미분류
에어콤프레샤 수리부속,9종
수리부속-타이어 1100-20 외 3종,9종
소형표적기 수리부속(방-16-4),9종
자동차배관용금속관등23종구매,미분류
즉각대기 컨테이너 내부자재 설치 납품,2종
"잉곳,구리 등 3종",미분류
동원훈련장 여성편의시설 컨테이너 구매,2종
토너 등 18종 구매,2종
00부대 창고신축 예정부지 토양정밀조사 용역,미분류
'16년 프린터 임차 용역,미분류
무전극램프 등 36종,미분류
기동장비 외주정비 용역(53),미분류
00부대 예비군훈련장 신축(조명기구 제조설치 납품),4종
16년 디지털전문처리체계(DMHS) 유지보수 용역,미분류
육로화물(WRSA탄약 및 일반화물) 수송 용역,미분류
유성방청색(적갈색)페인트,4종
에폭시 도료등 6품목,4종
무광알키드 숲녹색등 8종,미분류
멸균흰우유 등 4종 구매,1종
행주 등 77종 구매,미분류
유압작동조립체(나비 밸브 200A) 1종,4종
전기밥솥 등 3종,미분류
된장 등 48품목 구매,1종
고무발 등 127종 구매,미분류
위임26차 / 1분기 직영공사 자재 납품,미분류
런닝머신 구매,미분류
합판 등 8종(16-33),4종
수저세트 등 189종,미분류
필터 등 12종 구매,9종
습기제거제 외 1종 구매,미분류
모래 등 7종 구매,4종
팬 조립체 1종,미분류
UDT 중절모 등 7종,미분류
의료기재 36종 구매,미분류
개스킷 등 16종,미분류
냉장배식대 등 2종 구매,미분류
퓨얼쿡 등 5종 구매,미분류
심정펌프 등 5종 구매,미분류
16-00부대 잠수함 실내공기질 측정 용역,미분류
예비군훈련 소집통지용 봉투납품,미분류
플로터(현수막 실사출력기) 구매,미분류
"기화기,부구 이용식 등 9종",미분류
개스킷 등 5종,미분류
밸브 카트리지 등 7종,4종
송풍기 1종,미분류
공기작동 발브 등 2종,미분류
"리셉터클, 육전 연결용 등 4종",미분류
"게이지, 전해질 수위용",미분류
동원처 예비군사격장 방송장비 납품,미분류
교육실습용 케이블 및 절연슬리브 구매,4종
우레탄호스 등 20종,미분류
스웨이징 슬리브 등 6종,미분류
00부대 라디에이터(동관삽입형) 구매,미분류
전기튀김기 1구 등 15종,미분류
에어컨오일 1종,미분류
국통 등 2종 구매,미분류
사과 등 4종 구매,미분류
혼합프레스햄 등 9종 구매,1종
단무지 등 94종 구매,미분류
전투실험 연구용역,미분류
전투실험 연구용역,미분류
"세탁기,트레일러탑제식",7종
무정전전원장치(항행안전) 유지보수,4종
치약(100g) 6항목 구매(물자),미분류
무정전전원장치(방공관제) 유지보수,4종
장의자 구매,2종
로드셀 등 23종 구매,미분류
항공기 유도장비 / 계기착륙장비 외주정비 용역,미분류
UH-60시뮬레이터,7종
2016년 00부대 청소 용역,미분류
비행조종장치용 시험세트 구매,미분류
16년 교과목형 CBT 개발 용역,미분류
의료가스중앙공급장치 구매설치,3종
수술드릴및쏘셋전기식 구매,미분류
체력단련장 비료 구매,미분류
체력단련장 농약 구매,미분류
16-병기 보관가방 등 17종 구매,미분류
16-스키부츠 등 3종 구매,미분류
16-피탄 고글(헌병용) 등 4종 구매,미분류
전자동혈압계 등 3종 구매,미분류
대전병원 생화학자동분석기 소모품 60종 구매,미분류
보코더 특성분석 플랫폼 개발 연구용역,미분류
인쇄재료 7종 구매,미분류
'16년 전반기 모범장병 및 군무원 국내시찰 여행 용역,미분류
00지역 정수약품 구매,3종
Pin Board 등 88종구매,미분류
엡손칼라잉크 등 54종,2종
안전벨트 162EA,미분류
'16-00부대 전세버스(45인승) 임차용역,미분류
` 16-00부대 의무수의사관 임관 호부 제조 납품,미분류
`16-00부대 교육장비비(RGB리피터 등 8종) 구매,미분류
16-덕-CCTV유지보수 용역,미분류
도서(파워포인트 디자인 수업) 등 644종,10종
임관사령장 외지 등 26종,미분류
형광등 등 45종 구매,미분류
내열페인트 등 69종 구매,4종
방탄헬멧(대테러) 1종,2종
권총벨트/권총집 1종,7종
"헬멧, 안전용 등 9종",미분류
비석면 가스켓 등 3종,3종
16년 방공포대 지뢰 재탐색 및 제거작전 물품 구매,5종
손질포 1종,미분류
작전장갑 등 3종,미분류
16-00부대 정수기 7대 임차 용역,미분류
방부목피스 등 120종,미분류
16년 지뢰 재탐색 및 제거작전 물품 구매,5종
"고무장갑 40,312PR",미분류
부직포 등 1종,미분류
국군체육부대 소방시설 점검용역,미분류
시그마 매트 등 4종,미분류
마네킨 등 5종,미분류
00지역 방송장비,미분류
인쇄용지 7종 구매,미분류
구내방송장치 제조 설치,미분류
비닐봉투 등 40품목 구매,미분류
콩조림 등 7종 구매,미분류
돈등뼈 등 6종 구매,미분류
배추썰은 포기김치 등 8종 제조 납품,1종
콜라 등 11종 구매,미분류
케이블크로스오버 등 14종,4종
무정전 전원공급장치 유지보수 정비,4종
함정 바라스트 탱크 소제 용역,미분류
함정 유류탱크 소제 용역,미분류
통신운영용품(토너 등 155종),2종
16년 CCTV 정비용역,미분류
카트리지 3종 구매,미분류
"'16년 상승레스텔 등 식자재 납품(서울,경기)",미분류
향토예비군의 날 기념품(타월) 제조구매,10종
00지역 축성도구 및 시설자재 구매,4종
순회연주회 버스임차,미분류
정보생산전파장비 유지보수,미분류
서바이벌 훈련용 페인트 볼 구매,4종
다목적 항무지원정 함형 발전 연구,10종
'16년 1/4분기 전산운영용품 구매,2종
보온대(주머니난로) 구매,미분류
'16년 액화석유가스 구매 계약,3종
1분기 정보체계운영용품 구매,미분류
자폐식입식수전 등 30종 구매,미분류
페니라민정 등 70종 구매,미분류
디지털도어록 259개,미분류
'16년 액화석유가스 구매 계약,3종
에어 구리스 펌프 등 125품목 구매,미분류
삼중활차 도르레 등 4품목 구매,미분류
회로카드 조립체 1종,미분류
항만경비정 추진기관(MTU16V2000 M91) 정비,미분류
폐목재 위탁 처리 용역(5),미분류
부품국산화율 산정방식 등  제도 개선방안 연구,9종
예비군부대 일반물자(2차) 구매,미분류
독수리 식자재(가공),미분류
독수리 식자재(축산),미분류
독수리 식자재(수산),미분류
독수리 식자재(농산),미분류
2016년 과학화경계시스템(CCTV) 외주정비 용역,미분류
알루미늄 합금판 등 8품목,미분류
다용도 사물함 등 617종,미분류
AED배터리 등 3종,9종
물자저장 컨테이너(3동) 제조납품(K-5),2종
'16년 화학물자 구매,미분류
왕복동식 공기 압축기,미분류
"바,금속제 등 27품목",미분류
행정 각대봉투 등 330종 구매,미분류
Adapter Board 등 2종 구매,미분류
차량 수리부속(머플러 앗세이-리어 등 73종) 구매,9종
복사용지 등 86종,미분류
'16-K-소형무인항공기(UAV) 외주정비 용역,미분류
IP 전화기 등 6품목(16-33호),2종
"소켓,소켓 렌치용 등 192종",미분류
"플랜지,파이프용 등 27종",4종
16-평-정수기 임차 용역(57대),미분류
무정전 전원공급기 외주정비용역,미분류
16-00전비 영외양수장 시설관리 용역,미분류
16년도 전반기 디지털인쇄기/컬러복합기 재료 구매,미분류
아산화질소 1항목 구매(물품),3종
나프탈렌 2항목 구매(물품),미분류
견인테이블 경요추용 등 6항목 구매(물품),미분류
"스폰지,이발용 등 9항목 구매(물자)",미분류
이발용 가위 4항목 구매(물자),미분류
비강지혈거즈1항묵 구매(물품),8종
군어린이집 교재 구매,미분류
휴대용 고압 세척기 등 2종,미분류
00부대 전산운영 소모품 구매,2종
국방우주력 발전을 위한 민·군 기술협력 방안 연구,10종
향방물자 컨테이너 제조 구매,2종
철사각관 등 56종,미분류
00지역 소방시설 종합정밀점검 용역,미분류
유체정역학 유니트 등 6품목,미분류
통신장비(주둔지과학화경계시스템) 외주정비 용역,미분류
통신장비(CCTV) 외주정비 용역,미분류
장비운영소모품 외과장비(24차) 구매,미분류
의료기재(20차) 구매,미분류
통신장비(상층기상관측장비) 외주정비 용역,미분류
롤백상지등 184품목,미분류
"수송대대 충전기 케이블 등 32품목(16-022, 023)",4종
00학교 테니스라켓 등 4종 구매,미분류
통신장비(기상관측장비) 외주정비 용역,미분류
근속 30주년 기념휘장 제조,미분류
16년 OO부대 청소용역(2),미분류
세척제(총강용) 구매,미분류
15-본-공-15 파상형경질폴리에틸렌전선관 제조 납품,4종
공군휘장 제조,미분류
디지털 인쇄기 구매,미분류
병사피복(반코트) 제조납품,2종
모래주머니 제조,4종
16-근속 30년 기념휘장(뺏지) 등 3종 제조납품,미분류
저 전송률 보코더 개발 연구용역,미분류
수지틀 액자 등 223종,미분류
'16년도 도청탐지시스템 외주 용역,미분류
참치통조림 등 8종 구매,미분류
참치통조림 등 8종 구매,미분류
참치통조림 등 8종 구매,미분류
참치통조림 등 8종 구매,미분류
참치통조림 등 8종 구매,미분류
참치통조림 등 8종 구매,미분류
참치통조림 등 8종 구매,미분류
참치통조림 등 8종 구매,미분류
16년 세탁용역(유니폼 등 00종),미분류
2016년 제2차 정신교육 영상교재 제작,10종
16년 정수기 임차용역,미분류
16-1차 식품검사대 검사재료 구매,미분류
'16년 LPG계약,3종
'16년 LPG계약,3종
16-018 군수처 취사연료(LPG가스),3종
공기흡입관 등 2종,미분류
클린징크림 등 30종 구매,미분류
교육실습재료 등 210종 구매,미분류
포기김치 등 3종 제조 납품,1종
버스(45인승) 1대 임차 용역,미분류
볼펜 등 150종,미분류
16-00부대 침구류(매트리스) 세척 및 소독 용역,미분류
알루미늄 합금판 등 9종,미분류
병영도서관용 서가 제작설치,10종
00학교 버스임차 용역,미분류
면보루 등 31종 구매,미분류
의약품(무코스타 정 등 76종) 구매,8종
정비작업대 등 25종 구매,미분류
16-평-저수조 청소 용역,미분류
1분기 교육비품 등 20종 구매,미분류
티꽂이매트 등 16종 구매,미분류
부이 샤클 등 2종 구매,미분류
흑백레이저프린터 토너 등 14종 구매,2종
디지털 카메라,미분류
영선 및 설비시설 자재구매(각 파이프 등 94종),4종
전기시설 자재구매(메탈스위치 등),4종
수중VTR 2SET,미분류
와이프올 습윤 세정 타올 등 20종 구매,미분류
16-1차 아크부대 재보급물자 항공수송 용역,미분류
16-026 소파테이블 등 20종,미분류
HOT PLATE 등 7종 구매,미분류
AED패드 필립스 등 5품목,미분류
이륜차 바퀴 등 15종,미분류
아스팔트 콘크리트 표층용 등 2종,4종
이동식 충전 앰프 등 2종,미분류
캐노피 천막 4EA,2종
L.O 필터 등 10종 구매,9종
국자 등 49종,미분류
치킨 포장용기 구매,미분류
'16년 대전병원 핵의약품(체내검사용) 구매,8종
16-1차 항과고/훈련단 식당 부식물 구매,1종
"호스조립체,비금속제 등 27종",미분류
1분기 전산용품 구매,2종
양주병원 공조기필터 교체 설치납품,9종
홍천병원 공조기필터 교체 설치납품,9종
춘천병원 공조기필터 교체 설치납품,9종
16-1차 교관용 참고도서 구매,10종
목재도어락 등 131종,4종
이동작업대 등 0종 구매(국가기술자격검정 실습장비),미분류
'16-6-소방종합 정밀점검 용역,미분류
잔농속성시약 등 00종(식품검사재료) 구매,미분류
00함 인원이송용 승강기 정밀안전검사 용역,미분류
페인트 등 471점,4종
16년 신병교육 및 분대장 양성교육 물품 구매,미분류
체력단련장 소토사 구매,미분류
차량용품(엔진오일등 140종),3종
민수차량타이어 및 배터리 등 20품종,9종
수도병원 마약의약품 12종 구매,8종
수도병원 일반의약품 589종 구매,8종
대형 콘크리트절단기 구매,4종
해외파병 예방약품 5종 구매,미분류
13-본-국대-01 00학교이전 맨홀뚜껑 3종 제조,미분류
'16년 정보분석지원체계 유지보수 용역,미분류
병리장비 운영소모품 46종 구매,미분류
지뢰제거작전용 안전장구류(7종) 구매,5종
13-본-국대-01 00학교이전 공조용 소음기 제조,미분류
임상병리 위탁 및 수탁 검사용역,미분류
유성매직 등 747품목,미분류
복사용지 등 133품목,미분류
흡연 부스 제작설치,미분류
'16년 육로수송(일반화물임) 용역,미분류
배선용 차단기 등 97종,4종
쇄석 등 3종(16-026),미분류
16-036 가스보일러,3종
정수기 000대 임차계약,미분류
초음파 가습기 등7종,미분류
발간재료(용지) 구매,미분류
발간재료(현수막) 조달,미분류
소파 등 15종,미분류
1/4분기 교육예산(위장크림 등 85종),미분류
2016년 모범장병 나라사랑 투어 버스임차 용역,미분류
복사용지 등 4종,미분류
'16년 해본지구 정수기 임차 용역,미분류
16-평-식당 위탁방제 용역,미분류
"바,금속제 등7종",미분류
"광택제,금속용 등 2종",미분류
16-교학과 현장학습 버스임차용역,미분류
의료용 액화질소 등 23종,3종
제6회 호국미술대전 홍보물 제작 용역,미분류
수소가스 구매,3종
특수선복 구매,미분류
철파이프등3종구매,4종
16년 현역 및 보충역 군장품 구매,미분류
스폰지등42종구매,미분류
늄합금봉등14종구매,미분류
마사각강등48종구매,미분류
페인트붓등33종구매,4종
알미늄봉등6종구매,미분류
고무판등9종구매,미분류
동파이프등2종구매,4종
냉난방기 설치납품(위임6),미분류
민군 협업을 통한 게임형 Train-ment(가칭) 개발방안,미분류
00부대 업무용 프린터 구매,2종
A-1부대 등 4개 부대 소방시설 자체점검 용역,미분류
휴대용 정밀측정장비(스펙트럼) 구매,7종
00부대 브리핑 시스템 교체,미분류
보급근무분야 민간위탁 용역(2),미분류
보급근무분야 민간위탁 용역(1),미분류
"화인코트지, 모조지 구매",미분류
인쇄장비 판출력기 LD Unit 교체정비 용역,미분류
육상발전기 100KW 엔진 정비,9종
증식류 용기어묵 구매,미분류
16년 식자재 민간위탁배송 용역,미분류
'16년 생도모집 홍보물 / 디자인 제작 용역계약 의뢰,미분류
16년 작사청사 및 기동사청사 청소용역,미분류
태극마크,미분류
형광램프외 61종 구매,미분류
산도측정기 등 16종 구매,7종
16-평-지정폐기물(폐오일필터) 처리용역,미분류
전화 영어교육 용역,미분류
16년 해병대 교범 번역 용역,미분류
트래픽페인트등 3품목,4종
1/4분기 흑백토너(SL-3320ND) 등 전산소모품 구매,2종
유흡착패드 등 98종 구매,미분류
수지 액자 등 692종 구매,미분류
프리미엄 고광택 포토용지 등 138종 구매,미분류
광컨버터 등 120종 구매,미분류
담금세정제 등 9종 제조,미분류
정비사점검복 제조,미분류
16-J-부대 소개영화 제작 용역,미분류
"덮개,안전선용 등 5종",4종
자동기상관측장비 등 6종 유지보수 정비,미분류
"고임쇠,철제,소형 등 5항목 구매(물자)",미분류
"세척제,일반목적용(20Kg) 1항목 구매(물자)",미분류
2016년 군용항공기 감항인증 국제회의 행사진행,7종
양면테이프 등 489종,미분류
76mm 철갑고폭탄 비용분석,미분류
육군경비정 추진기관 정비,미분류
16년 임대 프린터 용역,미분류
식기세척기 임차용역,미분류
육군 통합 응용체계 '16년 기능개선 사업,미분류
수도병원 치과재료 268종 구매,미분류
수도병원 수술포류 30종 구매,미분류
수도병원 외과장비소모품(4) 10종 구매,미분류
수도병원 병리재료 126종 구매,미분류
국방전자자료 유출방지체계 유지보수 및 성능개선용역,미분류
군수물자관리 RFID 체계 유지보수 용역,미분류
특수전 모의훈련체계 유지보수 용역,미분류
발굴장비 및 발굴물자 구매,미분류
UPS배터리 설치납품,9종
사무실 칸막이 설치(이설) 및 철거(연간 단가계약),미분류
16년 국방부 전화친절도 조사,10종
우리 군 합동성 진단 및 합동성 강화 발전 방안,미분류
"임시숙영시설 컨테이너 운반 용역(경남-증평,충주)",미분류
임시숙영시설 컨테이너 운반 용역(충남-증평),미분류
조리병교육대 교육 재료,미분류
00대대 수송부정비고 크레인 설치납품,미분류
16-평-000체력단련장 방제 용역,미분류
계란 등 14종 구매,미분류
부직포 구매,미분류
비닐장판 구매,4종
플라스틱 파레트 구매,미분류
'16-00의료원 폐수처리시설 위탁관리용역,미분류
저장대 구매,미분류
휴대용 호흡용 고압공기압축기 1종,미분류
스모크햄 등 2종,1종
재생토너 등 29종,2종
돈등뼈 등 7종,미분류
간장고추지 등 12종,1종
일반우유 등 19종,1종
배추김치 등 8종,1종
감귤 등 14종,미분류
감자수제비 등 87종,미분류
유도등 1종,미분류
중파송신기 유지보수 정비,4종
00부대 냉온정수기 임차용역,미분류
전반기 정신교육 영상교재(국가관) 제작 용역,미분류
전반기 정신교육 영상교재(안보관) 제작 용역,미분류
전반기 정신교육 영상교재(군인정신) 제작 용역,미분류
군어린이집 교구 구매,미분류
"잉곳,주석-청동용 등 6종",미분류
2016년 국방기술을 활용한 창업 경진대회 시행,미분류
K9베어링구매,9종
액상황산알루미늄등12종구매,미분류
도장기(완성장비용)컨베이어 PLC CPU 등 7종 구매,미분류
종이타올,미분류
(16-005) 공기충전기,미분류
신병교육 행정용품(문구류) 구매,미분류
교향악대 순회연주회 트럭임차,미분류
16년 전반기 전산운영용품 구매(2016-2002),2종
16년 디지털 인쇄재료 구매(2016-2001),미분류
50차 의약품 구매,8종
소방시설 작동기능 점검용역,미분류
의약품 및 의료기재 구매(K-3),8종
축성재료(사낭등 8종),미분류
취사기구(밀폐용기등 11품목),2종
기념품(벨트등 5종),10종
시뮬레이터 자이로스코프,7종
수도병원 외과장비소모품(2) 24종 구매,미분류
수도병원 외과장비소모품(1) 37종 구매,미분류
수도병원 외과장비소모품(3) 66종 구매,미분류
수도병원 일반재료 248종 구매,미분류
16-잠수함 전투복 제조납품,7종
00공사 관급자재 가스절연부하개폐기 구매,미분류
00부대 전산통신 및 감시방송장비 유지보수 용역,미분류
16-1차 한빛부대 재보급 해상/내륙 수송용역,미분류
도어록 등 31종,미분류
플라스틱 소변컵 등 169종,미분류
무초산형 실리콘 등 461종,미분류
포토용지 등 279종,미분류
덴티안 미러핸들 등 152종,미분류
쌀떡볶이 구매(구매 또는 제조),1종
'16년 화물수송 용역,미분류
포제명찰 및 계급장 루프테이프 부착,2종
전기안전관리대행 용역,미분류
16년 식기세척기 임차용역,미분류
"16년 정수기 임차용역(대형 2대, 일반 204대)",미분류
전력변환기 및 주파수변환기 야전 외주정비 용역,미분류
16년 액화석유가스(LPG) 구매,3종
16년 정수기 임차 및 유지보수 관리 용역,미분류
개스켓 등 64품목,미분류
땜질 합금.은제 등 12종,미분류
출입통제시스템 유지보수,4종
항공기세척기 1EA,7종
색안경 등 4종,미분류
홀컵 등 19종 구매,미분류
배출호스 등 124종,미분류
면도날 등 47종 구매,미분류
훈련장 울타리 기초공사 자재구매,미분류
승강기 관리용역,미분류
냉동꽃게 등 5종,미분류
연어통조림 등 11품목,미분류
16년 항온항습기(6대) 연간 유지보수 계약,4종
초강력 먼지 제거제 등 828종 구매,미분류
복사용지 A4 등 687종 구매,미분류
바.금속제 등 3종,미분류
포스트잇 인덱스탭 등 46종,미분류
행정소모품(복사용지) 구매,미분류
